# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000        1.844        6.852
       1.001        0.000        1.844        6.852
       2.005        0.000        1.844        6.852
       3.009        0.000        1.844        6.852
       4.013        0.000        1.844        6.855
       5.014       17.000        1.844        6.855
       6.015       12.000        1.844        6.855
       7.016       15.000        1.844        6.855
       8.017       13.000        1.844        6.855
       9.018       12.000        1.844        6.855
      10.019       13.000        1.844        6.855
      11.020       10.000        1.844        6.855
      12.021       13.000        1.844        6.855
      13.022       11.000        1.844        6.855
