# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000        1.816        6.852
       1.001        0.000        1.816        6.852
       2.003        0.000        1.816        6.852
       3.005        7.000        1.816        6.855
       4.006       21.000        1.816        6.855
       5.008       25.000        1.816        6.855
       6.009       25.000        1.816        6.855
       7.010       25.000        1.816        6.855
       8.011       23.000        1.816        6.855
       9.012       27.000        1.816        6.855
      10.014       24.000        1.816        6.855
      11.015       23.000        1.816        6.855
      12.016       26.000        1.816        6.855
