# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000        1.883        6.852
       1.001        0.000        1.883        6.852
       2.003        0.000        1.883        6.852
       3.005        3.000        1.883        6.855
       4.006       11.000        1.883        6.855
       5.008       14.000        1.883        6.855
       6.010        8.000        1.883        6.855
       7.011       13.000        1.883        6.855
       8.012       16.000        1.883        6.855
       9.014        8.000        1.883        6.855
      10.016        8.000        1.883        6.855
      11.017       13.000        1.883        6.855
      12.019        8.000        1.883        6.855
